Marks,Interest,Skill,Hobby,Personality,IQ,Career,Sector
95,Tech,Communication,Sports,Introvert,98,Software Engineer,Private
66,Arts,Analysis,Sports,Ambivert,90,Designer,Private
64,Commerce,Creativity,Gaming,Extrovert,120,Financial Analyst,Private
50,Arts,Coding,Reading,Ambivert,83,Civil Services,Public
62,Arts,Creativity,Gaming,Introvert,88,Designer,Private
60,Tech,Coding,Sports,Introvert,116,Software Engineer,Private
52,Medical,Communication,Drawing,Ambivert,129,Surgeon,Private
85,Arts,Communication,Sports,Extrovert,126,Civil Services,Public
91,Medical,Communication,Music,Extrovert,124,Surgeon,Private
56,Commerce,Creativity,Sports,Ambivert,109,Auditor,Private
91,Medical,Analysis,Music,Ambivert,106,Nurse,Private
74,Commerce,Communication,Music,Extrovert,107,Financial Analyst,Private
91,Tech,Communication,Gaming,Extrovert,122,Software Engineer,Private
72,Medical,Coding,Drawing,Ambivert,131,Doctor,Private
81,Medical,Creativity,Gaming,Introvert,139,Government Doctor,Public
51,Arts,Creativity,Reading,Extrovert,83,Writer,Private
77,Tech,Creativity,Drawing,Ambivert,130,Government IT Officer,Public
54,Tech,Communication,Gaming,Ambivert,102,Government IT Officer,Public
61,Commerce,Communication,Gaming,Introvert,134,Auditor,Private
79,Commerce,Analysis,Gaming,Ambivert,137,Bank Officer,Public
83,Commerce,Coding,Gaming,Extrovert,85,Auditor,Private
80,Arts,Analysis,Drawing,Extrovert,87,Designer,Private
61,Commerce,Coding,Sports,Extrovert,83,Financial Analyst,Private
81,Tech,Analysis,Drawing,Introvert,96,Software Engineer,Private
84,Arts,Coding,Reading,Ambivert,122,Animator,Private
80,Commerce,Coding,Music,Ambivert,116,Financial Analyst,Private
54,Commerce,Communication,Gaming,Ambivert,107,Auditor,Private
67,Medical,Analysis,Reading,Introvert,88,Nurse,Private
91,Tech,Communication,Gaming,Introvert,128,AI Engineer,Private
88,Commerce,Coding,Sports,Ambivert,92,Auditor,Private
73,Medical,Coding,Reading,Extrovert,97,Surgeon,Private
83,Commerce,Communication,Drawing,Introvert,140,Auditor,Private
68,Medical,Analysis,Gaming,Ambivert,106,Doctor,Private
69,Medical,Coding,Gaming,Ambivert,92,Nurse,Private
51,Arts,Creativity,Reading,Introvert,92,Writer,Private
69,Medical,Coding,Reading,Extrovert,123,Nurse,Private
93,Medical,Coding,Music,Extrovert,92,Surgeon,Private
92,Tech,Communication,Drawing,Extrovert,119,Web Developer,Private
62,Tech,Coding,Music,Introvert,86,Software Engineer,Private
72,Arts,Communication,Drawing,Extrovert,126,Writer,Private
51,Commerce,Communication,Drawing,Extrovert,140,Bank Officer,Public
75,Commerce,Creativity,Reading,Ambivert,83,Bank Officer,Public
88,Medical,Coding,Gaming,Ambivert,104,Doctor,Private
97,Tech,Communication,Sports,Extrovert,102,AI Engineer,Private
51,Medical,Communication,Gaming,Ambivert,101,Nurse,Private
71,Commerce,Analysis,Gaming,Extrovert,124,Financial Analyst,Private
97,Tech,Communication,Drawing,Introvert,118,Software Engineer,Private
78,Medical,Communication,Sports,Ambivert,95,Doctor,Private
84,Medical,Creativity,Gaming,Extrovert,138,Nurse,Private
69,Medical,Coding,Gaming,Introvert,127,Nurse,Private
97,Medical,Coding,Sports,Extrovert,104,Doctor,Private
72,Commerce,Analysis,Music,Introvert,110,Auditor,Private
82,Tech,Communication,Sports,Introvert,135,Web Developer,Private
98,Tech,Analysis,Gaming,Ambivert,132,AI Engineer,Private
98,Tech,Analysis,Sports,Ambivert,87,Web Developer,Private
85,Arts,Coding,Sports,Introvert,83,Designer,Private
91,Arts,Creativity,Music,Introvert,125,Designer,Private
83,Arts,Communication,Music,Ambivert,126,Writer,Private
89,Medical,Coding,Gaming,Ambivert,106,Government Doctor,Public
85,Tech,Analysis,Gaming,Extrovert,128,Web Developer,Private
83,Commerce,Coding,Sports,Introvert,136,Chartered Accountant,Private
80,Commerce,Analysis,Drawing,Introvert,121,Financial Analyst,Private
86,Medical,Coding,Sports,Extrovert,101,Surgeon,Private
85,Commerce,Creativity,Reading,Ambivert,98,Bank Officer,Public
56,Medical,Analysis,Drawing,Ambivert,88,Nurse,Private
54,Tech,Communication,Reading,Ambivert,106,Web Developer,Private
69,Medical,Creativity,Reading,Introvert,107,Government Doctor,Public
61,Arts,Creativity,Drawing,Extrovert,139,Animator,Private
65,Tech,Coding,Drawing,Introvert,137,Software Engineer,Private
71,Tech,Analysis,Music,Extrovert,99,Government IT Officer,Public
50,Arts,Analysis,Drawing,Ambivert,113,Animator,Private
85,Medical,Analysis,Reading,Extrovert,104,Surgeon,Private
82,Medical,Analysis,Music,Extrovert,104,Nurse,Private
89,Arts,Coding,Sports,Introvert,131,Civil Services,Public
89,Arts,Analysis,Reading,Introvert,125,Designer,Private
92,Tech,Creativity,Gaming,Extrovert,92,AI Engineer,Private
53,Tech,Coding,Sports,Extrovert,110,Software Engineer,Private
64,Medical,Analysis,Drawing,Ambivert,131,Surgeon,Private
95,Tech,Analysis,Gaming,Extrovert,97,Government IT Officer,Public
67,Medical,Coding,Drawing,Introvert,111,Government Doctor,Public
51,Tech,Creativity,Reading,Introvert,100,Software Engineer,Private
54,Medical,Creativity,Music,Ambivert,112,Nurse,Private
53,Tech,Coding,Gaming,Extrovert,115,Web Developer,Private
80,Arts,Coding,Sports,Introvert,113,Designer,Private
72,Medical,Analysis,Music,Extrovert,98,Surgeon,Private
74,Medical,Analysis,Reading,Introvert,97,Surgeon,Private
59,Arts,Analysis,Reading,Extrovert,134,Designer,Private
94,Medical,Analysis,Music,Introvert,105,Doctor,Private
79,Arts,Coding,Gaming,Extrovert,82,Designer,Private
100,Tech,Communication,Gaming,Ambivert,135,AI Engineer,Private
88,Commerce,Analysis,Reading,Introvert,133,Bank Officer,Public
77,Arts,Communication,Music,Ambivert,91,Civil Services,Public
64,Arts,Creativity,Drawing,Ambivert,86,Civil Services,Public
67,Commerce,Analysis,Reading,Ambivert,112,Financial Analyst,Private
95,Arts,Creativity,Sports,Ambivert,107,Animator,Private
77,Tech,Coding,Music,Introvert,96,Software Engineer,Private
86,Arts,Analysis,Sports,Introvert,104,Designer,Private
87,Commerce,Creativity,Music,Ambivert,81,Auditor,Private
94,Tech,Analysis,Drawing,Extrovert,108,AI Engineer,Private
72,Tech,Coding,Music,Extrovert,97,Government IT Officer,Public
81,Tech,Creativity,Sports,Introvert,99,AI Engineer,Private
76,Tech,Coding,Sports,Introvert,101,AI Engineer,Private
84,Medical,Communication,Music,Extrovert,90,Government Doctor,Public
72,Arts,Coding,Gaming,Ambivert,112,Writer,Private
57,Tech,Creativity,Gaming,Introvert,93,Government IT Officer,Public
72,Medical,Creativity,Reading,Extrovert,96,Nurse,Private
52,Commerce,Communication,Drawing,Ambivert,127,Auditor,Private
92,Commerce,Creativity,Sports,Extrovert,91,Auditor,Private
53,Medical,Analysis,Sports,Ambivert,101,Government Doctor,Public
58,Medical,Communication,Music,Extrovert,131,Nurse,Private
70,Arts,Analysis,Reading,Introvert,106,Animator,Private
56,Tech,Creativity,Sports,Introvert,107,AI Engineer,Private
77,Arts,Coding,Music,Extrovert,125,Civil Services,Public
95,Commerce,Analysis,Sports,Ambivert,99,Auditor,Private
95,Tech,Coding,Music,Ambivert,134,AI Engineer,Private
89,Medical,Coding,Gaming,Ambivert,105,Nurse,Private
93,Commerce,Communication,Music,Introvert,119,Bank Officer,Public
73,Commerce,Analysis,Drawing,Ambivert,123,Financial Analyst,Private
51,Tech,Coding,Sports,Introvert,91,Government IT Officer,Public
90,Commerce,Creativity,Music,Ambivert,136,Financial Analyst,Private
81,Medical,Analysis,Reading,Ambivert,127,Nurse,Private
71,Tech,Coding,Reading,Introvert,131,Government IT Officer,Public
69,Commerce,Communication,Sports,Introvert,98,Chartered Accountant,Private
93,Tech,Analysis,Music,Ambivert,126,Software Engineer,Private
93,Commerce,Communication,Drawing,Introvert,103,Bank Officer,Public
75,Tech,Communication,Drawing,Ambivert,94,Software Engineer,Private
76,Commerce,Communication,Reading,Introvert,98,Financial Analyst,Private
87,Arts,Coding,Sports,Extrovert,113,Writer,Private
78,Tech,Creativity,Gaming,Ambivert,105,Government IT Officer,Public
58,Medical,Creativity,Gaming,Extrovert,126,Nurse,Private
54,Commerce,Coding,Gaming,Ambivert,115,Auditor,Private
87,Arts,Coding,Music,Extrovert,117,Animator,Private
58,Medical,Communication,Drawing,Introvert,92,Surgeon,Private
71,Tech,Creativity,Music,Ambivert,87,Software Engineer,Private
59,Tech,Communication,Gaming,Extrovert,101,Web Developer,Private
55,Tech,Analysis,Gaming,Extrovert,112,Web Developer,Private
82,Arts,Analysis,Drawing,Introvert,102,Writer,Private
81,Tech,Analysis,Music,Introvert,137,Software Engineer,Private
100,Tech,Creativity,Gaming,Ambivert,131,Government IT Officer,Public
56,Commerce,Coding,Gaming,Extrovert,98,Bank Officer,Public
93,Commerce,Creativity,Reading,Extrovert,109,Financial Analyst,Private
70,Tech,Communication,Reading,Ambivert,82,Web Developer,Private
98,Commerce,Coding,Drawing,Extrovert,95,Auditor,Private
65,Medical,Creativity,Music,Ambivert,105,Doctor,Private
85,Commerce,Analysis,Drawing,Introvert,104,Financial Analyst,Private
88,Commerce,Analysis,Gaming,Extrovert,117,Financial Analyst,Private
87,Commerce,Coding,Reading,Extrovert,121,Bank Officer,Public
91,Medical,Communication,Drawing,Extrovert,112,Government Doctor,Public
90,Arts,Analysis,Reading,Ambivert,91,Writer,Private
62,Medical,Coding,Music,Introvert,109,Nurse,Private
94,Tech,Coding,Drawing,Extrovert,86,Government IT Officer,Public
98,Arts,Coding,Gaming,Introvert,104,Animator,Private
65,Commerce,Analysis,Reading,Ambivert,83,Auditor,Private
72,Arts,Communication,Music,Introvert,117,Designer,Private
50,Tech,Analysis,Drawing,Extrovert,117,Software Engineer,Private
62,Commerce,Communication,Gaming,Extrovert,85,Financial Analyst,Private
93,Commerce,Creativity,Music,Introvert,139,Bank Officer,Public
67,Medical,Analysis,Sports,Extrovert,105,Doctor,Private
80,Tech,Analysis,Sports,Extrovert,116,Web Developer,Private
52,Arts,Coding,Sports,Ambivert,84,Writer,Private
68,Commerce,Communication,Sports,Ambivert,125,Bank Officer,Public
68,Tech,Analysis,Music,Extrovert,131,Software Engineer,Private
95,Commerce,Coding,Music,Ambivert,129,Financial Analyst,Private
66,Tech,Analysis,Gaming,Introvert,83,Software Engineer,Private
51,Arts,Communication,Drawing,Ambivert,95,Civil Services,Public
95,Commerce,Creativity,Reading,Introvert,107,Chartered Accountant,Private
76,Medical,Analysis,Drawing,Introvert,101,Surgeon,Private
78,Medical,Coding,Music,Extrovert,119,Surgeon,Private
84,Arts,Communication,Drawing,Introvert,126,Animator,Private
66,Tech,Analysis,Reading,Ambivert,131,Government IT Officer,Public
70,Arts,Coding,Reading,Introvert,80,Designer,Private
97,Commerce,Creativity,Music,Extrovert,131,Financial Analyst,Private
79,Medical,Communication,Reading,Introvert,125,Nurse,Private
75,Tech,Creativity,Gaming,Extrovert,83,Government IT Officer,Public
84,Commerce,Coding,Sports,Extrovert,118,Auditor,Private
100,Commerce,Communication,Music,Extrovert,132,Chartered Accountant,Private
55,Arts,Creativity,Gaming,Ambivert,133,Designer,Private
53,Medical,Creativity,Gaming,Introvert,125,Surgeon,Private
100,Commerce,Coding,Reading,Extrovert,133,Auditor,Private
57,Commerce,Creativity,Reading,Ambivert,106,Financial Analyst,Private
52,Commerce,Coding,Gaming,Ambivert,112,Chartered Accountant,Private
89,Commerce,Creativity,Music,Ambivert,115,Bank Officer,Public
64,Medical,Communication,Music,Introvert,136,Nurse,Private
84,Medical,Coding,Sports,Introvert,131,Surgeon,Private
99,Arts,Communication,Reading,Ambivert,135,Civil Services,Public
55,Tech,Analysis,Drawing,Introvert,83,Web Developer,Private
84,Arts,Communication,Sports,Introvert,140,Writer,Private
66,Tech,Communication,Reading,Ambivert,81,Web Developer,Private
96,Arts,Communication,Reading,Ambivert,83,Designer,Private
95,Medical,Coding,Sports,Ambivert,80,Doctor,Private
63,Commerce,Creativity,Sports,Ambivert,119,Financial Analyst,Private
62,Arts,Creativity,Gaming,Introvert,108,Writer,Private
75,Tech,Analysis,Sports,Ambivert,120,Web Developer,Private
69,Commerce,Creativity,Sports,Ambivert,112,Bank Officer,Public
77,Commerce,Analysis,Drawing,Ambivert,134,Bank Officer,Public
98,Medical,Creativity,Reading,Ambivert,96,Government Doctor,Public
80,Arts,Communication,Reading,Introvert,99,Designer,Private
61,Medical,Coding,Drawing,Introvert,86,Government Doctor,Public
84,Medical,Creativity,Sports,Introvert,101,Government Doctor,Public
100,Arts,Analysis,Drawing,Ambivert,88,Writer,Private
76,Tech,Coding,Gaming,Extrovert,82,AI Engineer,Private
74,Tech,Creativity,Music,Ambivert,125,AI Engineer,Private
96,Tech,Communication,Music,Introvert,115,Software Engineer,Private
91,Medical,Coding,Sports,Extrovert,94,Government Doctor,Public
89,Commerce,Creativity,Sports,Introvert,116,Financial Analyst,Private
67,Tech,Coding,Gaming,Ambivert,110,Government IT Officer,Public
50,Tech,Creativity,Music,Introvert,99,Government IT Officer,Public
59,Arts,Coding,Reading,Ambivert,83,Writer,Private
54,Tech,Creativity,Gaming,Extrovert,140,AI Engineer,Private
65,Commerce,Coding,Sports,Extrovert,109,Auditor,Private
97,Medical,Analysis,Gaming,Extrovert,114,Government Doctor,Public
93,Medical,Communication,Reading,Introvert,86,Doctor,Private
71,Commerce,Communication,Music,Introvert,129,Financial Analyst,Private
62,Arts,Coding,Drawing,Extrovert,109,Animator,Private
95,Medical,Creativity,Drawing,Ambivert,127,Surgeon,Private
91,Arts,Coding,Gaming,Extrovert,85,Designer,Private
60,Arts,Communication,Gaming,Introvert,106,Designer,Private
77,Arts,Creativity,Reading,Extrovert,102,Writer,Private
77,Commerce,Creativity,Gaming,Extrovert,104,Bank Officer,Public
56,Medical,Analysis,Gaming,Ambivert,102,Nurse,Private
55,Medical,Coding,Sports,Ambivert,93,Doctor,Private
100,Arts,Analysis,Sports,Introvert,134,Animator,Private
87,Tech,Creativity,Music,Ambivert,109,AI Engineer,Private
58,Tech,Analysis,Sports,Introvert,115,Software Engineer,Private
79,Arts,Creativity,Gaming,Ambivert,94,Writer,Private
74,Commerce,Analysis,Reading,Ambivert,111,Chartered Accountant,Private
70,Commerce,Coding,Drawing,Extrovert,133,Financial Analyst,Private
87,Arts,Analysis,Sports,Ambivert,91,Designer,Private
81,Tech,Creativity,Reading,Introvert,103,Software Engineer,Private
51,Tech,Coding,Drawing,Extrovert,128,AI Engineer,Private
98,Commerce,Creativity,Reading,Introvert,97,Auditor,Private
75,Arts,Creativity,Drawing,Extrovert,89,Animator,Private
59,Commerce,Communication,Music,Ambivert,118,Bank Officer,Public
88,Medical,Analysis,Gaming,Introvert,116,Doctor,Private
89,Tech,Coding,Sports,Extrovert,88,Web Developer,Private
88,Tech,Analysis,Reading,Ambivert,126,Web Developer,Private
60,Tech,Coding,Sports,Extrovert,114,AI Engineer,Private
50,Arts,Coding,Drawing,Extrovert,99,Designer,Private
52,Medical,Coding,Drawing,Ambivert,99,Doctor,Private
56,Commerce,Communication,Drawing,Extrovert,135,Financial Analyst,Private
57,Tech,Analysis,Music,Extrovert,100,Government IT Officer,Public
94,Commerce,Coding,Gaming,Introvert,125,Auditor,Private
62,Tech,Analysis,Sports,Extrovert,114,AI Engineer,Private
59,Tech,Communication,Music,Introvert,126,Software Engineer,Private
56,Medical,Coding,Music,Extrovert,111,Government Doctor,Public
96,Tech,Coding,Gaming,Ambivert,89,AI Engineer,Private
84,Commerce,Creativity,Drawing,Introvert,121,Auditor,Private
80,Commerce,Coding,Reading,Ambivert,93,Auditor,Private
59,Tech,Communication,Sports,Extrovert,88,AI Engineer,Private
54,Tech,Communication,Music,Extrovert,89,AI Engineer,Private
87,Arts,Creativity,Music,Extrovert,90,Civil Services,Public
54,Medical,Creativity,Sports,Extrovert,80,Nurse,Private
63,Arts,Communication,Drawing,Introvert,101,Civil Services,Public
58,Tech,Creativity,Gaming,Ambivert,84,Software Engineer,Private
71,Medical,Creativity,Sports,Extrovert,139,Surgeon,Private
59,Medical,Creativity,Music,Introvert,124,Doctor,Private
52,Medical,Analysis,Reading,Introvert,98,Nurse,Private
61,Commerce,Communication,Reading,Extrovert,131,Chartered Accountant,Private
56,Commerce,Communication,Gaming,Extrovert,99,Financial Analyst,Private
55,Commerce,Coding,Music,Introvert,84,Chartered Accountant,Private
100,Arts,Creativity,Sports,Extrovert,130,Designer,Private
56,Tech,Coding,Reading,Ambivert,84,AI Engineer,Private
92,Commerce,Creativity,Music,Extrovert,92,Financial Analyst,Private
78,Medical,Analysis,Reading,Introvert,133,Doctor,Private
71,Commerce,Creativity,Drawing,Introvert,101,Chartered Accountant,Private
54,Commerce,Communication,Drawing,Introvert,116,Chartered Accountant,Private
58,Arts,Communication,Sports,Extrovert,133,Designer,Private
86,Medical,Communication,Drawing,Extrovert,125,Doctor,Private
54,Commerce,Coding,Music,Ambivert,118,Bank Officer,Public
69,Medical,Coding,Sports,Introvert,94,Surgeon,Private
87,Medical,Analysis,Sports,Introvert,137,Nurse,Private
70,Medical,Coding,Music,Ambivert,125,Doctor,Private
70,Medical,Creativity,Gaming,Introvert,111,Surgeon,Private
50,Commerce,Communication,Drawing,Introvert,82,Financial Analyst,Private
72,Commerce,Analysis,Drawing,Introvert,105,Financial Analyst,Private
56,Commerce,Coding,Drawing,Introvert,130,Auditor,Private
53,Arts,Communication,Drawing,Ambivert,124,Designer,Private
71,Commerce,Coding,Drawing,Ambivert,120,Bank Officer,Public
56,Arts,Analysis,Gaming,Ambivert,124,Writer,Private
82,Arts,Communication,Gaming,Ambivert,88,Designer,Private
81,Commerce,Communication,Music,Introvert,124,Financial Analyst,Private
86,Medical,Creativity,Gaming,Introvert,129,Nurse,Private
51,Tech,Communication,Sports,Extrovert,133,Government IT Officer,Public
87,Commerce,Communication,Music,Introvert,89,Auditor,Private
80,Medical,Communication,Reading,Extrovert,91,Doctor,Private
89,Commerce,Creativity,Gaming,Extrovert,129,Financial Analyst,Private
75,Tech,Creativity,Reading,Ambivert,129,Software Engineer,Private
91,Tech,Communication,Drawing,Ambivert,97,AI Engineer,Private
60,Commerce,Creativity,Reading,Extrovert,114,Auditor,Private
63,Tech,Communication,Reading,Extrovert,92,Government IT Officer,Public
74,Medical,Coding,Reading,Introvert,138,Doctor,Private
67,Arts,Coding,Drawing,Introvert,101,Animator,Private
74,Medical,Coding,Drawing,Extrovert,113,Government Doctor,Public
69,Tech,Analysis,Drawing,Introvert,111,Web Developer,Private
53,Commerce,Coding,Drawing,Introvert,135,Bank Officer,Public
71,Tech,Analysis,Sports,Introvert,139,AI Engineer,Private
81,Tech,Communication,Drawing,Extrovert,84,Government IT Officer,Public
77,Medical,Analysis,Reading,Extrovert,82,Nurse,Private
85,Arts,Creativity,Gaming,Extrovert,124,Designer,Private
84,Tech,Coding,Drawing,Ambivert,113,Software Engineer,Private
94,Medical,Coding,Drawing,Extrovert,98,Government Doctor,Public
86,Tech,Communication,Drawing,Ambivert,96,Software Engineer,Private
79,Arts,Analysis,Gaming,Introvert,85,Animator,Private
81,Medical,Communication,Drawing,Extrovert,109,Surgeon,Private
74,Tech,Coding,Reading,Extrovert,95,Government IT Officer,Public
51,Commerce,Communication,Drawing,Introvert,99,Financial Analyst,Private
80,Medical,Coding,Sports,Ambivert,80,Surgeon,Private
64,Arts,Coding,Drawing,Extrovert,140,Designer,Private
63,Commerce,Communication,Reading,Introvert,116,Bank Officer,Public
99,Commerce,Communication,Sports,Introvert,118,Chartered Accountant,Private
81,Commerce,Coding,Drawing,Ambivert,100,Chartered Accountant,Private
91,Tech,Coding,Music,Ambivert,94,Web Developer,Private
74,Commerce,Creativity,Gaming,Ambivert,140,Financial Analyst,Private
70,Commerce,Coding,Reading,Introvert,125,Chartered Accountant,Private
55,Commerce,Analysis,Sports,Introvert,87,Financial Analyst,Private
54,Commerce,Coding,Reading,Ambivert,82,Chartered Accountant,Private
87,Tech,Creativity,Sports,Extrovert,135,AI Engineer,Private
100,Medical,Creativity,Sports,Introvert,109,Government Doctor,Public
74,Commerce,Coding,Sports,Extrovert,81,Chartered Accountant,Private
88,Arts,Analysis,Drawing,Introvert,94,Writer,Private
82,Commerce,Analysis,Reading,Introvert,121,Bank Officer,Public
88,Commerce,Creativity,Gaming,Ambivert,137,Chartered Accountant,Private
85,Tech,Communication,Gaming,Introvert,84,AI Engineer,Private
66,Arts,Analysis,Drawing,Introvert,126,Animator,Private
60,Arts,Coding,Sports,Introvert,91,Designer,Private
